date,archetype
2014-03-22,Esper Control decks
2014-03-22,Esper Control decks
2014-03-22,Gruul Aggro decks
2014-03-22,Jund Aggro decks
2014-03-22,Jund Aggro decks
2014-03-22,Mono Blue Aggro decks
2014-03-22,Mono Blue Aggro decks
2014-03-22,Mono Blue Aggro decks
2014-03-22,Orzhov Control decks
2014-03-22,Orzhov Control decks
2014-03-23,Boros Aggro decks
2014-03-23,Boros Aggro decks
2014-03-23,Boros Aggro decks
2014-03-23,Boros Aggro decks
2014-03-23,Devotion to Black decks
2014-03-23,Devotion to Black decks
2014-03-23,Devotion to Black decks
2014-03-23,Devotion to Red decks
2014-03-23,Esper Control decks
2014-03-23,Esper Control decks
2014-03-23,Esper Control decks
2014-03-23,Esper Control decks
2014-03-23,Esper Control decks
2014-03-23,Esper Control decks
2014-03-23,Esper Midrange decks
2014-03-23,Jund Aggro decks
2014-03-23,Jund Aggro decks
2014-03-23,Jund decks
2014-03-23,Jund decks
2014-03-23,Mono Black Aggro decks
2014-03-23,Mono Blue Aggro decks
2014-03-23,Mono Blue Aggro decks
2014-03-23,Mono Blue Aggro decks
2014-03-23,Mono Green Aggro decks
2014-03-23,Naya Aggro decks
2014-03-23,Naya Aggro decks
2014-03-23,Orzhov Control decks
2014-03-23,Orzhov Control decks
2014-03-23,Orzhov Control decks
2014-03-23,Orzhov Control decks
2014-03-23,UW Control decks
2014-03-23,UW Control decks
2014-03-24,Devotion to Black decks
2014-03-24,Devotion to Black decks
2014-03-24,Devotion to Black decks
2014-03-24,Jund Aggro decks
2014-03-24,Mono Blue Aggro decks
2014-03-24,Naya Aggro decks
2014-03-24,UW Control decks
2014-03-24,Weenie White  decks
2014-03-25,Boros Aggro decks
2014-03-25,Boros Aggro decks
2014-03-25,Devotion to Black decks
2014-03-25,Devotion to Black decks
2014-03-25,Devotion to Black decks
2014-03-25,Devotion to Black decks
2014-03-25,Mono Blue Aggro decks
2014-03-25,Mono Blue Aggro decks
2014-03-26,Devotion to Black decks
2014-03-26,Esper Control decks
2014-03-26,Jund Aggro decks
2014-03-26,Jund Aggro decks
2014-03-26,Mono Black Aggro decks
2014-03-26,Mono Black Aggro decks
2014-03-26,Mono Blue Aggro decks
2014-03-26,Mono Blue Aggro decks
2014-03-30,BUG Midrange decks
2014-03-30,BUG Midrange decks
2014-03-30,BUG Midrange decks
2014-03-30,Canadian Threshold decks
2014-03-30,Canadian Threshold decks
2014-03-30,Infect decks
2014-03-30,Loam decks
2014-03-30,MUD decks
2014-03-30,Painter decks
2014-03-30,Patriot Aggro decks
2014-03-30,Show and Tell decks
2014-03-30,Stoneblade decks
2014-03-30,Stoneblade decks
2014-03-30,Storm decks
2014-03-30,UR Delver decks
2014-03-30,UR Delver decks
2014-03-30,UWx Control decks
2014-03-30,UWx Control decks
2014-03-30,UWx Control decks
2014-03-30,UWx Control decks
2014-03-30,UWx Control decks
2014-03-31,Elves decks
2014-03-31,Elves decks
2014-04-01,Affinity decks
2014-04-01,Aura Hexproof decks
2014-04-01,BUG Midrange decks
